"","year","macrounit","MDperKMsqSpring_mean","MDperKMsqFall_mean","AvrgWinterMinTemp","HuntDen_All_mean","HuntDen_Aless_mean","CoyoteDen_mean","WTailDen_mean","WellDen_mean","WoodyVeg_mean","MaleFall_mean","FemaleFall_mean","FawnFall_mean","MDperKMsqFall_mean_tplus1","MDperKMsqFall_mean_tplus2","MDperKMsqSpring_mean_tplus1","HuntDen_All_mean_tplus1","HuntDen_Aless_mean_tplus1","AvrgWinterMinTemp_tplus1","WinterMort_mean","RatioSprAut_mean","FawnTotalRatio_mean","FawnTotalRatio_mean_tminus1","FawnFemaleRatio_mean","RepRateFall_mean","RepRateFall_mean_tminus1"
"19",1980,"0-1",0.3180381231,1.276468175,-9.7,0.4043413492,0.1216064208,0,0.144778462485,0,3.13810958083333,16,11,15,1.2667671302,1.5325812536,0.3028420734,0.8482047852,0.5624296963,-14,-0.9736261016,0.237249999123558,0.555555555555556,0.727272727272727,1.36363636363636,-0.00759991121596127,1.21052631575302
"20",1981,"0-1",0.919759125133333,1.2667671302,-6.8,0.449943757,0.1550481865,0.014524751562,0.189688487826667,0.0396656024033333,3.08960077216667,7,16,20.5,1.5325812536,2.11108344475,0.3180381231,0.4043413492,0.1216064208,-9.7,-0.9487290071,0.251062816138739,0.891304347826087,0.555555555555556,1.28125,0.20983661247828,-0.00759991121596127
"21",1982,"0-1",1.51508655006667,1.5325812536,-11.5,0.6445140303,0.2188915575,0.043574254687,0.112074664913333,0.0202613996033333,3.04109196353333,9,22,21.5,2.11108344475,1.32127633653333,0.919759125133333,0.449943757,0.1550481865,-6.8,-0.612822128466667,0.600137267092912,0.693548387096774,0.891304347826087,0.977272727272727,0.377469181350816,0.20983661247828
"22",1983,"0-1",1.189574435,2.11108344475,-6.9,0.7113975618,0.2553734837,0.029049503125,0.505568769613333,0.0202613996033333,2.9925831549,11,26,35,1.32127633653333,0.391806421433333,1.51508655006667,0.6445140303,0.2188915575,-11.5,-0.595996894683334,0.717681981654727,0.945945945945946,0.693548387096774,1.34615384615385,-0.374124059463788,0.377469181350816
"23",1984,"0-1",1.78160800076667,1.32127633653333,-9,1.1400601952,0.4925060043,0.009360047092,0.40235087032,0.0202613996033333,2.94407434623333,11.3333333333333,17.6666666666667,17.6666666666667,0.391806421433333,0.58855506,1.189574435,0.7113975618,0.2553734837,-6.9,-0.131701901533333,0.900322212778832,0.609195402298851,0.945945945945946,1,-0.703463680836572,-0.374124059463788
"24",1985,"0-1",0.726665387933333,0.391806421433333,-10.3,1.1826224425,0.6566746724,0.102960518011,0.09723825543,0.0202613996033333,2.89556553763333,1.33333333333333,5.66666666666667,6.33333333333333,0.58855506,0.4120530638,1.78160800076667,1.1400601952,0.4925060043,-9,1.38980157933333,4.54716386283069,0.904761904761905,0.609195402298851,1.11764705882353,0.502157769254795,-0.703463680836572
"25",1986,"0-1",0.520716687,0.58855506,-9,0.7235582039,0.3952208677,0.029049503125,0.0175489045433333,0.0202613996033333,2.84705672893333,3.5,7.5,9,0.4120530638,0.8559218465,0.726665387933333,1.1826224425,0.6566746724,-10.3,0.138110327933333,1.23465999584361,0.818181818181818,0.904761904761905,1.2,-0.29989037253371,0.502157769254795
"26",1987,"0-1",0.5959496348,0.4120530638,-5.9,0.3465782993,0.1641686681,0,0.0692005050033333,0.0202613996033333,2.79854792033333,0.333333333333333,6.33333333333333,7.66666666666667,0.8559218465,0.964808687666667,0.520716687,0.7235582039,0.3952208677,-9,0.1086636232,1.26371269320968,1.15,0.818181818181818,1.21052631578947,1.07721267403424,-0.29989037253371
"27",1988,"0-1",0.948918136166667,0.8559218465,-9.3,0.4529839176,0.1884899523,0.018720094184,0,0.0202613996033333,2.75003911166667,5,12,13.6666666666667,0.964808687666667,1.35631256603333,0.5959496348,0.3465782993,0.1641686681,-5.9,-0.2599722117,0.696266414085506,0.803921568627451,1.15,1.13888888888889,0.127215868612213,1.07721267403424
"28",1989,"0-1",0.9019899909,0.964808687666667,-9.7,0.5411485726,0.2097710759,0.009360047092,0.131616784076667,0.0303920994066667,2.70153030303333,6.66666666666667,11.6666666666667,15,1.35631256603333,1.45626630483333,0.948918136166667,0.4529839176,0.1884899523,-9.3,-0.0158905514999998,0.983529842026578,0.818181818181818,0.803921568627451,1.28571428571429,0.405783948021339,0.127215868612213
"29",1990,"0-1",0.718513145566667,1.35631256603333,-7.6,0.7326786854,0.3131365336,0.074880376735,0.184263497706667,0.0202613996033333,2.65302149436667,8.66666666666667,20,19,1.45626630483333,NA,0.9019899909,0.5411485726,0.2097710759,-9.7,-0.454322575133333,0.665031065470371,0.662790697674419,0.818181818181818,0.95,0.0736952095727643,0.405783948021339
"30",1991,"0-1",1.2735053141,1.45626630483333,-8.5,0.8482047852,0.3344176573,0.056160282551,0.05264671363,0.0303920994066667,2.60451268573333,6,19.3333333333333,25.3333333333333,NA,1.500960272,0.718513145566667,0.7326786854,0.3131365336,-7.6,-0.737753159266667,0.493394060675529,1,0.662790697674419,1.31034482758621,NA,0.0736952095727643
"31",1992,"0-1",0.708773094566667,NA,-6.6,0.9758915271,0.3556987809,NA,0.211306134963333,0.0202613996033333,2.55600387706667,NA,NA,NA,1.500960272,1.5804531152,1.2735053141,0.8482047852,0.3344176573,-8.5,NA,NA,NA,1,NA,NA,NA
"32",1993,"0-1",1.64094952816667,1.500960272,-9.9,1.1674216399,0.5745903384,0.04680023546,0.23691021134,0,2.50749506846667,7.33333333333333,20,26.3333333333333,1.5804531152,1.6292483277,0.708773094566667,0.9758915271,0.3556987809,-6.6,-0.792187177433333,0.472213094369407,0.963414634146341,NA,1.31666666666667,0.0529613239490192,NA
"33",1994,"0-1",1.08534946943333,1.5804531152,-9.5,1.1613413188,0.589791141,0.009360047092,0.240341986836667,0,2.45898625976667,9,20,26.3333333333333,1.6292483277,1.31798845393333,1.64094952816667,1.1674216399,0.5745903384,-9.9,0.0604964129666667,1.03827789156467,0.908045977011494,0.963414634146341,1.31666666666667,0.0308741917306578,0.0529613239490192
"34",1995,"0-1",2.0349781054,1.6292483277,-8.4,0.9606907245,0.4894658438,0,0.05364481508,0.0202613996033333,2.41047745116667,7.66666666666667,22.3333333333333,27.3333333333333,1.31798845393333,1.05794270956667,1.08534946943333,1.1613413188,0.589791141,-9.5,-0.543898858266667,0.666165771650976,0.911111111111111,0.908045977011494,1.22388059701493,-0.191045077950806,0.0308741917306578
"35",1996,"0-1",1.31332956663333,1.31798845393333,-10.9,0.7144377223,0.3222570152,0.018720094184,0.05264671363,0.0682024035533333,2.3619686425,7,19.3333333333333,20.3333333333333,1.05794270956667,1.27382261436667,2.0349781054,0.9606907245,0.4894658438,-8.4,0.716989651466667,1.54400298373398,0.772151898734177,0.911111111111111,1.05172413793103,-0.197305024630982,-0.191045077950806
"36",1997,"0-1",1.11271775006667,1.05794270956667,-10.9,0.6171525857,0.304016052,0.037440188368,0.05264671363,0.09552386182,2.31345983386667,5.33333333333333,20.6666666666667,12,1.27382261436667,1.87333596446667,1.31332956663333,0.7144377223,0.3222570152,-10.9,0.255386857066667,1.24139951507513,0.461538461538462,0.772151898734177,0.580645161290323,0.204056328237683,-0.197305024630982
"37",1998,"0-1",1.19746796843333,1.27382261436667,-7.8,0.3982610282,0.1550481865,0.065520329643,0,0.09552386182,2.2649510252,6,19.3333333333333,19.6666666666667,1.87333596446667,NA,1.11271775006667,0.6171525857,0.304016052,-10.9,-0.1611048643,0.873526452990395,0.776315789473684,0.461538461538462,1.01724137931034,0.470641157833481,0.204056328237683
"38",1999,"0-1",1.56150966806667,1.87333596446667,-6.5,0.5168272885,0.228012039,0.112320565103,0.05564101798,0.09552386182,2.2164422166,10.3333333333333,30,26.3333333333333,NA,2.2922791054,1.19746796843333,0.3982610282,0.1550481865,-7.8,-0.675867996033333,0.639216878951154,0.652892561983471,0.776315789473684,0.877777777777778,NA,0.470641157833481
"39",2000,"0-1",1.03591728986667,NA,-7.5,0.7448393275,0.3708995835,NA,0.15259746412,0.09552386182,2.1679334079,NA,NA,NA,2.2922791054,1.3161678408,1.56150966806667,0.5168272885,0.228012039,-6.5,NA,NA,NA,0.652892561983471,NA,NA,NA
"40",2001,"0-1",1.59956672806667,2.2922791054,-11.2,1.0275742559,0.5502690542,0.065520329643,0.122842331806667,0.09552386182,2.1194245993,19.6666666666667,32.3333333333333,28,1.3161678408,2.33513253156667,1.03591728986667,0.7448393275,0.3708995835,-7.5,-1.25636181553333,0.451915862874779,0.538461538461538,NA,0.865979381443299,-0.425825660714937,NA
"41",2002,"0-1",1.64805703093333,1.3161678408,-9.3,1.039734898,0.589791141,0.026323356815,0.243136795245,0.0853931620166667,2.07091579063333,6,23,21,2.33513253156667,2.35584317123333,1.59956672806667,1.0275742559,0.5502690542,-11.2,0.283398887266667,1.21532123676142,0.724137931034483,0.538461538461538,0.91304347826087,0.77419053951912,-0.425825660714937
"42",2003,"0-1",1.58729014003333,2.33513253156667,-8.2,0.9424497613,0.4925060043,0.018720094184,0.407221206696667,0.112356474203333,2.022406982,14.3333333333333,36,32.3333333333333,2.35584317123333,2.74567069766667,1.64805703093333,1.039734898,0.589791141,-9.3,-0.687075500633334,0.705765950606509,0.642384105960265,0.724137931034483,0.898148148148148,0.00886914956076242,0.77419053951912
"43",2004,"0-1",1.47075608376667,2.35584317123333,-8.8,0.9546104034,0.5016264859,0.009360047092,0.14517925938,0.12334437081,1.97389817333333,16.3333333333333,31.3333333333333,35.3333333333333,2.74567069766667,3.3127388352,1.58729014003333,0.9424497613,0.4925060043,-8.2,-0.7685530312,0.673767320089628,0.741258741258741,0.642384105960265,1.12765957446809,0.165472613454677,0.00886914956076242
