	Correlation Matrix All Macrounits												
	year	MDperKMsqFall_mean	AvrgWinterMinTemp	HuntDen_All_mean	CoyoteDen_mean	WellDen_mean	WoodyVeg_mean	MDperKMsqFall_mean_tplus1	MDperKMsqFall_mean_tplus2	FawnTotalRatio_mean	FawnTotalRatio_mean_tminus1	RepRateFall_mean	RepRateFall_mean_tminus1
RepRateFall_mean_tminus1	-0.1531274	0.30849516	0.131572206	-0.15368667	-0.066861481	-0.16661048	0.1531274	0.07777854	0.124663003	0.11101090	0.11872945	-0.330299352	100.000.000
													
	Correlation Matrix Macrounit 2												
	year	MDperKMsqFall_mean	AvrgWinterMinTemp	HuntDen_All_mean	CoyoteDen_mean	WellDen_mean	WoodyVeg_mean	MDperKMsqFall_mean_tplus1	MDperKMsqFall_mean_tplus2	FawnTotalRatio_mean	FawnTotalRatio_mean_tminus1	RepRateFall_mean	RepRateFall_mean_tminus1
year	100.000.000	0.5028984	0.36737021	-0.031877560	0.14420526	0.86279612	-100.000.000	0.47991935	0.46858499	-0.68348513	-0.44970910	-0.014939956	-0.02786475
MDperKMsqFall_mean	0.50289839	10.000.000	0.28367074	0.156156504	0.16012605	0.48799645	-0.50289839	0.52795175	0.55330261	-0.29111202	-0.13152009	-0.491584424	0.42758278
AvrgWinterMinTemp	0.36737021	0.2836707	100.000.000	0.054154485	-0.01308301	0.30288850	-0.36737021	0.37248870	0.33953722	-0.01132735	0.04281937	0.093937145	0.03276108
HuntDen_All_mean	-0.03187756	0.1561565	0.05415448	1.000.000.000	-0.25051919	-0.08775760	0.03187756	0.09361362	-0.05561935	-0.02796749	-0.02908656	-0.004714633	-0.08420852
CoyoteDen_mean	0.14420526	0.1601261	-0.01308301	-0.250519185	100.000.000	0.12340742	-0.14420526	-0.06676335	-0.15637851	-0.24411256	-0.15883135	-0.241255609	0.02837532
WellDen_mean	0.86279612	0.4879964	0.30288850	-0.087757605	0.12340742	100.000.000	-0.86279612	0.51013078	0.48428669	-0.68187069	-0.47778411	0.018611719	-0.06765675
WoodyVeg_mean	-100.000.000	-0.5028984	-0.36737021	0.031877560	-0.14420526	-0.86279612	100.000.000	-0.47991935	-0.46858499	0.68348513	0.44970910	0.014939956	0.02786475
MDperKMsqFall_mean_tplus1	0.47991935	0.5279518	0.37248870	0.093613616	-0.06676335	0.51013078	-0.47991935	100.000.000	0.51861924	-0.25677643	-0.23868402	0.446877522	-0.10858767
MDperKMsqFall_mean_tplus2	0.46858499	0.5533026	0.33953722	-0.055619353	-0.15637851	0.48428669	-0.46858499	0.51861924	100.000.000	-0.34521604	-0.14131695	-0.102614494	0.02845988
FawnTotalRatio_mean	-0.68348513	-0.2911120	-0.01132735	-0.027967486	-0.24411256	-0.68187069	0.68348513	-0.25677643	-0.34521604	100.000.000	0.65430636	0.066104889	0.12030834
FawnTotalRatio_mean_tminus1	-0.44970910	-0.1315201	0.04281937	-0.029086560	-0.15883135	-0.47778411	0.44970910	-0.23868402	-0.14131695	0.65430636	100.000.000	-0.105841346	0.03147297
RepRateFall_mean	-0.01493996	-0.4915844	0.09393715	-0.004714633	-0.24125561	0.01861172	0.01493996	0.44687752	-0.10261449	0.06610489	-0.10584135	1.000.000.000	-0.53345079
RepRateFall_mean_tminus1	-0.02786475	0.4275828	0.03276108	-0.084208516	0.02837532	-0.06765675	0.02786475	-0.10858767	0.02845988	0.12030834	0.03147297	-0.533450788	100.000.000
													
	Correlation Matrix Macrounit 3												
